Zdeněk Berka;ČSSD;N;Sokolov;Zákon o volbách do PČR;2018-03-07;4234
Zdeněk Berka;ČSSD;N;Sokolov;Zákon o volbách do P ČR;2017-10-12;4198
Zdeněk Berka;ČSSD;N;Sokolov;Zákon o silničním provozu - senátní návrh;2016-04-27;3883
Zdeněk Berka;ČSSD;N;Sokolov;Zákon o veřejných kulturních institucích;2016-01-11;3812
Zdeněk Berka;ČSSD;N;Sokolov;Zákoník práce - senátní návrh;2014-12-17;3646
Zdeněk Berka;ČSSD;N;Sokolov;Novela exekučního řádu - senátní návrh;2014-08-26;3572
Zdeněk Berka;ČSSD;N;Sokolov;Novela zákona o církvích - senátní návrh;2014-08-26;3571
Zdeněk Berka;ČSSD;N;Sokolov;Zákon o prodejní době;2013-02-28;3295
Václav Homolka;KSČM;A;Chomutov;Zákon o volbách do P ČR;2017-10-12;4198
Václav Homolka;KSČM;A;Chomutov;Novela zákona o léčivech - senátní návrh;2017-08-15;4180
Václav Homolka;KSČM;A;Chomutov;Novela zákona o evidenci tržeb - senátní návrh;2017-08-15;4179
Václav Homolka;KSČM;A;Chomutov;Zákon o ochraně veřejného zdraví;2016-01-07;3811
Václav Homolka;KSČM;A;Chomutov;Zákoník práce;2015-12-17;3801
Václav Homolka;KSČM;A;Chomutov;Zákon o rozhlasových a televizních poplatcích;2015-02-26;3671
Václav Homolka;KSČM;A;Chomutov;Zákon - změna výplaty sociálních dávek;2013-03-05;3299
Milada Emmerová;ČSSD;A;Rokycany;Zákon o silničním provozu;2018-04-05;4250
Milada Emmerová;ČSSD;A;Rokycany;Novela zákona o léčivech - senátní návrh;2017-08-15;4180
Milada Emmerová;ČSSD;A;Rokycany;Novela zákona o evidenci tržeb - senátní návrh;2017-08-15;4179
Milada Emmerová;ČSSD;A;Rokycany;Zákon o silničním provozu - senátní návrh;2016-04-27;3883
Milada Emmerová;ČSSD;A;Rokycany;Zákoník práce;2015-12-17;3801
Milada Emmerová;ČSSD;A;Rokycany;Zákoník práce - senátní návrh;2014-12-17;3646
Milada Emmerová;ČSSD;A;Rokycany;Novela exekučního řádu - senátní návrh;2014-08-26;3572
Milada Emmerová;ČSSD;A;Rokycany;Novela zákona o církvích - senátní návrh;2014-08-26;3571
Milada Emmerová;ČSSD;A;Rokycany;Novela zákona o místních poplatcích - senátní návrh;2014-06-11;3544
Milada Emmerová;ČSSD;A;Rokycany;Zákon o prodejní době v maloobchodě a velkoobchodě - senátní návrh;2014-03-20;3493
Milada Emmerová;ČSSD;A;Rokycany;Zákon - změna výplaty sociálních dávek;2013-03-05;3299
Jan Látka;ČSSD;A;Domažlice;Zákon o silničním provozu;2018-04-05;4250
Jan Látka;ČSSD;A;Domažlice;Zákon o volbách do P ČR;2017-10-12;4198
Jan Látka;ČSSD;A;Domažlice;Zákon o silničním provozu - senátní návrh;2016-04-27;3883
